IP,Severity,MITRE,Reportes,Primer visto,Expira en,País
118.145.245.82,CRITICAL,Execution · T1203 · T1203,1514,2026-05-27,2026-07-20,CN
94.156.152.70,MANUAL,"Manual: Watchlist desde caso 8ff583fc (CRITICAL, Command and Control)",900,2026-07-12,2026-08-05,BG
172.233.29.203,CRITICAL,Initial Access · T1190 · T1190,1243,2026-06-07,2026-07-20,BR
120.236.49.131,MANUAL,Manual: Watchlist desde caso f65c50b2 (CRITICAL),2647,2026-05-22,2026-07-19,CN
101.47.8.187,CRITICAL,Initial Access · T1190 · T1190,1323,2026-04-30,2026-07-22,SG
199.45.154.119,CRITICAL,Initial Access · T1190 · T1190,688,2026-07-15,2026-08-07,US
160.119.76.10,MANUAL,"Manual: Watchlist desde caso 87947a45 (CRITICAL, Initial Access)",2253,2026-05-27,2026-08-07,SC
109.105.210.87,CRITICAL,Initial Access · T1190 · T1190,1040,2026-07-14,2026-08-07,PT
200.255.205.162,MANUAL,"Manual: Watchlist desde caso f9d8e6a0 (CRITICAL, Execution)",987,2026-07-14,2026-08-07,BR
109.105.210.85,CRITICAL,Initial Access · T1190 · T1190,1096,2026-07-14,2026-08-07,PT
198.54.129.52,CRITICAL,Initial Access · T1190 · T1190,688,2026-07-15,2026-08-07,US
94.243.11.58,CRITICAL,Initial Access · T1190 · T1190,1084,2026-07-14,2026-08-07,RU
109.105.210.90,CRITICAL,Initial Access · T1190 · T1190,1120,2026-07-14,2026-08-07,PT
175.119.225.92,CRITICAL,Initial Access · T1190 · T1190,1040,2026-07-14,2026-08-07,KR
115.159.50.185,CRITICAL,Execution · T1203 · T1203,1095,2026-07-14,2026-08-07,CN
115.248.8.65,CRITICAL,Execution · T1203 · T1203,1119,2026-07-14,2026-08-07,IN
45.225.135.21,CRITICAL,Initial Access · T1190 · T1190,657,2026-07-12,2026-08-04,PA
194.50.16.253,CRITICAL,Initial Access · T1190 · T1190,657,2026-07-12,2026-08-04,NL
66.132.172.186,CRITICAL,Initial Access · T1190 · T1190,736,2026-06-01,2026-08-03,US
66.132.195.125,CRITICAL,Initial Access · T1190 · T1190,1156,2026-06-10,2026-07-21,US
66.132.172.184,CRITICAL,Initial Access · T1190 · T1190,1929,2026-05-09,2026-07-20,US
66.132.195.122,CRITICAL,Initial Access · T1190 · T1190,2034,2026-05-08,2026-07-22,US
85.111.68.99,CRITICAL,Execution · T1203 · T1203,810,2026-05-08,2026-07-21,TR
124.71.175.215,CRITICAL,Initial Access · T1190 · T1190,852,2026-07-12,2026-08-04,CN
38.76.247.78,CRITICAL,Initial Access · T1190 · T1190,1706,2026-06-14,2026-07-20,SG
66.132.186.181,CRITICAL,Initial Access · T1190 · T1190,776,2026-06-11,2026-07-19,US
34.156.122.124,CRITICAL,Command and Control · TA0011 · T1071,1071,2026-07-14,2026-08-07,BE
34.156.18.212,CRITICAL,Command and Control · TA0011 · T1071,1083,2026-07-14,2026-08-07,BE
81.19.219.254,CRITICAL,Command and Control · TA0011 · T1071,988,2026-07-14,2026-08-07,GB
69.5.169.153,CRITICAL,Command and Control · TA0011 · T1071,1072,2026-07-14,2026-08-07,DE
35.195.8.156,CRITICAL,Command and Control · TA0011 · T1071,1059,2026-07-14,2026-08-07,BE
103.217.186.15,MANUAL,"Manual: Watchlist desde caso fd57ff63 (CRITICAL, Command and Control)",976,2026-07-14,2026-08-07,CN
34.62.20.175,CRITICAL,Command and Control · TA0011 · T1071,1071,2026-07-14,2026-08-07,BE
34.62.55.22,CRITICAL,Command and Control · TA0011 · T1071,1060,2026-07-14,2026-08-07,BE
153.117.9.191,CRITICAL,Command and Control · TA0011 · T1071,891,2026-07-14,2026-08-07,PK
34.77.154.150,CRITICAL,Command and Control · TA0011 · T1071,1048,2026-07-13,2026-08-06,BE
103.168.66.101,CRITICAL,Command and Control · TA0011 · T1071,940,2026-07-13,2026-08-06,US
71.207.128.92,CRITICAL,Command and Control · TA0011 · T1071,1095,2026-07-13,2026-08-06,US
66.226.147.116,CRITICAL,Command and Control · TA0011 · T1071,1120,2026-07-13,2026-08-06,AU
192.142.28.77,CRITICAL,Command and Control · TA0011 · T1071,903,2026-07-13,2026-08-06,NL
47.88.87.155,CRITICAL,Command and Control · TA0011 · T1071,1012,2026-07-13,2026-08-06,US
42.54.64.9,CRITICAL,Command and Control · TA0011 · T1071,1011,2026-07-13,2026-08-06,CN
35.241.129.45,CRITICAL,Command and Control · TA0011 · T1071,1083,2026-07-13,2026-08-06,BE
35.233.79.170,CRITICAL,Command and Control · TA0011 · T1071,1036,2026-07-13,2026-08-06,BE
34.77.225.182,CRITICAL,Command and Control · TA0011 · T1071,1083,2026-07-13,2026-08-06,BE
34.53.192.201,CRITICAL,Command and Control · TA0011 · T1071,1084,2026-07-13,2026-08-06,BE
132.243.24.82,CRITICAL,Command and Control · TA0011 · T1071,999,2026-07-13,2026-08-06,AE
151.252.107.59,CRITICAL,Command and Control · TA0011 · T1071,1143,2026-07-13,2026-08-06,RU
157.245.162.115,CRITICAL,Command and Control · TA0011 · T1071,879,2026-07-12,2026-08-05,US
153.37.227.92,CRITICAL,Command and Control · TA0011 · T1071,867,2026-07-12,2026-08-05,CN
153.117.9.30,CRITICAL,Command and Control · TA0011 · T1071,879,2026-07-12,2026-08-05,PK
94.156.232.243,MANUAL,"Manual: Watchlist desde caso 79aa059d (CRITICAL, Credential Access)",1153,2026-06-25,2026-07-19,DE
212.127.90.201,MANUAL,Manual: Watchlist desde caso de527952 (HIGH),1795,2026-06-14,2026-07-19,PL
36.109.135.42,CRITICAL,Initial Access · T1190 · T1190,852,2026-07-12,2026-08-04,CN
153.117.15.201,CRITICAL,Initial Access · T1190 · T1190,852,2026-07-12,2026-08-04,PK
137.184.13.100,CRITICAL,Initial Access · T1190 · T1190,2050,2026-06-11,2026-08-02,US
207.90.244.20,CRITICAL,Initial Access · T1190 · T1190,987,2026-06-11,2026-07-29,US
207.90.244.13,CRITICAL,Initial Access · T1190 · T1190,699,2026-06-11,2026-07-28,US
207.90.244.27,CRITICAL,Initial Access · T1190 · T1190,1434,2026-06-11,2026-07-22,US
66.132.172.143,CRITICAL,Initial Access · T1190 · T1190,671,2026-05-22,2026-07-21,US
5.187.35.26,CRITICAL,Initial Access · T1190 · T1190,1599,2026-04-21,2026-08-04,NL
119.96.223.148,CRITICAL,Initial Access · T1190 · T1190,852,2026-07-12,2026-08-04,CN
176.65.149.194,CRITICAL,Initial Access · T1190 · T1190,1407,2026-06-14,2026-07-22,NL
176.65.139.140,CRITICAL,Initial Access · T1190 · T1190,596,2026-06-28,2026-07-21,LU
143.20.49.38,CRITICAL,Execution · T1203 · T1203,1971,2026-06-09,2026-07-21,ID
117.175.51.134,MANUAL,"Manual: Watchlist desde caso 568846bc (CRITICAL, Initial Access)",562,2026-07-12,2026-08-03,CN
31.132.90.3,MANUAL,"Manual: Watchlist desde caso dcaf4fdb (MEDIUM, Execution)",2370,2026-06-11,2026-08-04,KZ
111.9.42.6,CRITICAL,Execution · T1203 · T1203,562,2026-07-12,2026-08-03,CN
158.160.236.32,CRITICAL,Initial Access · T1190 · T1190,562,2026-07-12,2026-08-03,RU
172.185.40.47,CRITICAL,Execution · T1203 · T1203,909,2026-04-30,2026-07-22,US
167.126.6.183,CRITICAL,Initial Access · T1190 · T1190,936,2026-07-09,2026-08-02,BR
45.90.163.37,CRITICAL,Initial Access · T1190 · T1190,746,2026-07-09,2026-08-01,FR
94.154.43.192,CRITICAL,Initial Access · T1190 · T1190,970,2026-07-05,2026-07-29,UA
45.198.224.5,CRITICAL,Initial Access · T1190 · T1190,682,2026-07-05,2026-07-28,US
222.212.83.51,CRITICAL,Initial Access · T1190 · T1190,1208,2026-06-14,2026-07-28,CN
66.132.195.95,MANUAL,"Manual: Watchlist desde caso 9506cad5 (MEDIUM, Initial Access)",1089,2026-04-21,2026-07-21,US
45.91.64.6,HIGH,Initial Access · T1566 · T1566,1169,2026-05-08,2026-07-18,RU
148.66.142.9,MANUAL,Manual: Watchlist desde caso 76f5df95 (CRITICAL),2492,2026-06-06,2026-08-02,SG
178.214.77.67,MANUAL,Manual: Reconocimiento hacia infraestructura,875,2026-06-18,2026-07-22,PS
181.94.246.141,MANUAL,Manual: Confirmado malicioso por análisis manual,1219,2026-04-22,2026-07-20,PY
200.100.103.35,MANUAL,"Manual: Watchlist desde caso be53d5ed (HIGH, Command and Control)",917,2026-06-25,2026-07-19,BR
114.115.209.176,MANUAL,Manual: Confirmado malicioso por análisis manual,1131,2026-06-24,2026-07-24,CN
41.75.114.30,HIGH,Initial Access · T1190 · T1190,1740,2026-04-23,2026-08-01,MW
101.36.104.242,HIGH,Execution · T1203 · T1203,1020,2026-04-22,2026-07-19,JP
180.76.172.156,HIGH,Execution · T1203 · T1203,1287,2026-05-17,2026-08-04,CN
64.227.90.185,MANUAL,Manual: Falso positivo: regla requiere ajuste (ver detalle),2169,2026-04-23,2026-07-18,US
118.145.104.105,HIGH,Initial Access · T1190 · T1190,1848,2026-05-09,2026-08-05,CN
181.104.43.225,HIGH,Initial Access · T1190 · T1190,1560,2026-05-22,2026-08-03,AR
209.99.185.239,MANUAL,"Manual: Watchlist desde caso b64bdc11 (CRITICAL, Discovery)",1446,2026-06-13,2026-07-22,CH
85.217.149.57,HIGH,Initial Access · T1566 · T1566,1133,2026-06-11,2026-07-22,CA
167.94.146.50,HIGH,Initial Access · T1566 · T1566,1364,2026-05-22,2026-08-04,US
37.120.213.13,HIGH,Initial Access · T1190 · T1190,844,2026-04-29,2026-08-01,CH
187.108.1.142,HIGH,Initial Access · T1190 · T1190,1908,2026-06-11,2026-07-22,BR
187.17.224.139,HIGH,Initial Access · T1190 · T1190,1903,2026-06-11,2026-07-22,BR
177.22.44.30,HIGH,Initial Access · T1190 · T1190,1101,2026-06-11,2026-07-20,BR
5.187.35.142,HIGH,Initial Access · T1190 · T1190,1130,2026-04-21,2026-07-20,NL
139.59.170.85,HIGH,Initial Access · T1566 · T1566,858,2026-06-11,2026-07-19,GB
167.94.146.61,HIGH,Initial Access · T1190 · T1190,1370,2026-05-27,2026-07-22,US
45.156.87.213,HIGH,Initial Access · T1190 · T1190,1067,2026-07-12,2026-08-05,NL
161.132.47.68,HIGH,Execution · T1203 · T1203,841,2026-07-12,2026-08-04,PE
152.32.235.160,HIGH,Initial Access · T1190 · T1190,875,2026-06-28,2026-07-22,US
103.162.41.197,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,PK
143.198.150.150,HIGH,Initial Access · T1566 · T1566,1191,2026-06-11,2026-08-02,US
134.209.95.237,HIGH,Initial Access · T1566 · T1566,1086,2026-06-11,2026-08-02,NL
208.85.17.8,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,ES
103.157.210.26,HIGH,Initial Access · T1190 · T1190,671,2026-07-05,2026-07-28,PK
146.190.149.252,HIGH,Initial Access · T1566 · T1566,1034,2026-06-11,2026-07-22,US
147.182.202.179,HIGH,Initial Access · T1566 · T1566,1034,2026-06-11,2026-07-22,US
164.92.106.15,HIGH,Initial Access · T1566 · T1566,746,2026-06-11,2026-07-21,US
209.38.131.131,HIGH,Initial Access · T1190 · T1190,746,2026-06-11,2026-07-21,US
164.92.114.247,HIGH,Initial Access · T1566 · T1566,999,2026-06-11,2026-07-20,US
147.182.225.86,HIGH,Initial Access · T1566 · T1566,761,2026-06-11,2026-07-19,US
89.126.211.166,HIGH,Execution · T1203 · T1203,537,2026-07-12,2026-08-03,UZ
66.132.172.96,MANUAL,"Manual: Watchlist desde caso 97aea5c3 (HIGH, Discovery)",1650,2026-06-13,2026-08-02,US
141.98.50.99,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,TR
185.249.227.95,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,FR
64.225.74.178,HIGH,Initial Access · T1190 · T1190,1496,2026-06-11,2026-08-01,NL
185.65.202.199,HIGH,Initial Access · T1190 · T1190,735,2026-07-09,2026-08-01,DE
94.26.88.19,HIGH,Initial Access · T1190 · T1190,959,2026-07-05,2026-07-29,BG
45.79.5.11,HIGH,Initial Access · T1190 · T1190,1062,2026-04-22,2026-07-18,US
137.184.112.192,HIGH,Initial Access · T1566 · T1566,1115,2026-06-11,2026-07-18,US
104.199.110.40,HIGH,Initial Access · T1566 · T1566,841,2026-07-12,2026-08-04,BE
34.62.126.214,HIGH,Initial Access · T1566 · T1566,841,2026-07-12,2026-08-04,BE
153.117.9.10,HIGH,Initial Access · T1190 · T1190,537,2026-07-12,2026-08-03,PK
223.123.73.181,HIGH,Initial Access · T1190 · T1190,537,2026-07-12,2026-08-03,PK
124.29.224.25,HIGH,Initial Access · T1190 · T1190,537,2026-07-12,2026-08-03,PK
209.38.206.248,HIGH,Initial Access · T1190 · T1190,942,2026-06-11,2026-08-02,DE
158.94.211.49,HIGH,Initial Access · T1566 · T1566,1829,2026-06-14,2026-08-02,US
207.90.244.10,HIGH,Initial Access · T1566 · T1566,893,2026-06-11,2026-08-01,US
207.90.244.22,HIGH,Initial Access · T1566 · T1566,689,2026-06-11,2026-07-28,US
164.92.82.91,MANUAL,"Manual: Watchlist desde caso cfd869af (MEDIUM, Initial Access)",605,2026-06-11,2026-07-21,US
207.90.244.21,HIGH,Initial Access · T1566 · T1566,858,2026-06-11,2026-07-20,US
207.90.244.5,HIGH,Initial Access · T1566 · T1566,906,2026-06-11,2026-07-20,US
143.198.238.87,HIGH,Initial Access · T1566 · T1566,973,2026-06-11,2026-07-18,US
66.132.172.140,HIGH,Initial Access · T1190 · T1190,552,2026-06-11,2026-08-03,US
66.132.172.180,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,US
167.94.146.62,HIGH,Initial Access · T1190 · T1190,1337,2026-06-26,2026-08-01,US
5.61.209.92,HIGH,Initial Access · T1190 · T1190,875,2026-06-28,2026-07-22,SC
66.132.172.141,HIGH,Initial Access · T1190 · T1190,587,2026-06-28,2026-07-21,US
185.242.3.233,HIGH,Initial Access · T1190 · T1190,841,2026-07-12,2026-08-04,NL
207.90.244.25,HIGH,Initial Access · T1566 · T1566,1746,2026-06-14,2026-07-19,US
64.62.156.10,HIGH,Initial Access · T1566 · T1566,602,2026-06-26,2026-07-19,US
199.45.155.64,HIGH,Initial Access · T1190 · T1190,537,2026-07-12,2026-08-03,US
66.132.195.41,HIGH,Initial Access · T1190 · T1190,699,2026-06-12,2026-08-03,US
85.11.167.203,HIGH,Initial Access · T1190 · T1190,1033,2026-07-09,2026-08-02,BG
34.34.103.195,HIGH,Initial Access · T1190 · T1190,1032,2026-07-09,2026-08-02,NL
45.153.34.231,HIGH,Initial Access · T1190 · T1190,1032,2026-07-09,2026-08-02,NL
94.154.43.230,HIGH,Initial Access · T1190 · T1190,1032,2026-07-09,2026-08-02,UA
193.32.209.252,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,GB
162.216.150.84,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,US
152.32.148.140,HIGH,Initial Access · T1190 · T1190,959,2026-07-05,2026-07-29,US
147.185.133.29,HIGH,Initial Access · T1190 · T1190,671,2026-07-05,2026-07-28,US
66.132.195.82,MANUAL,"Manual: Watchlist desde caso 47aa5dac (MEDIUM, Initial Access)",587,2026-06-28,2026-07-21,US
66.132.172.105,MANUAL,"Manual: Watchlist desde caso e610bb3f (MEDIUM, Initial Access)",702,2026-06-12,2026-07-21,US
147.185.132.255,HIGH,Initial Access · T1190 · T1190,875,2026-06-28,2026-07-22,US
66.132.172.199,HIGH,Initial Access · T1190 · T1190,587,2026-06-28,2026-07-21,US
198.235.24.214,HIGH,Initial Access · T1190 · T1190,587,2026-06-28,2026-07-21,US
147.185.133.46,HIGH,Initial Access · T1190 · T1190,587,2026-06-28,2026-07-21,US
47.245.133.204,HIGH,Initial Access · T1190 · T1190,537,2026-07-12,2026-08-03,DE
134.209.235.211,HIGH,Initial Access · T1190 · T1190,537,2026-07-12,2026-08-03,DE
201.51.21.56,HIGH,Initial Access · T1190 · T1190,537,2026-07-12,2026-08-03,SC
139.59.136.184,HIGH,Initial Access · T1190 · T1190,537,2026-07-12,2026-08-03,DE
173.212.194.70,HIGH,Initial Access · T1190 · T1190,537,2026-07-12,2026-08-03,FR
31.14.254.114,HIGH,Initial Access · T1190 · T1190,537,2026-07-12,2026-08-03,GB
52.165.80.210,MANUAL,Manual: Falso positivo: regla requiere ajuste (ver detalle),1778,2026-06-15,2026-07-18,US
45.33.14.5,HIGH,Initial Access · T1190 · T1190,1033,2026-07-09,2026-08-02,US
94.154.43.64,HIGH,Initial Access · T1190 · T1190,1032,2026-07-09,2026-08-02,UA
5.129.247.215,HIGH,Initial Access · T1190 · T1190,1033,2026-07-09,2026-08-02,RU
122.192.62.50,HIGH,Initial Access · T1190 · T1190,1033,2026-07-09,2026-08-02,CN
202.183.141.133,HIGH,Initial Access · T1190 · T1190,1033,2026-07-09,2026-08-02,TH
142.93.129.190,HIGH,Initial Access · T1190 · T1190,735,2026-07-09,2026-08-01,NL
105.186.202.247,HIGH,Initial Access · T1190 · T1190,735,2026-07-09,2026-08-01,ZA
20.169.48.134,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,US
185.180.141.69,HIGH,Initial Access · T1190 · T1190,735,2026-07-09,2026-08-01,PT
175.107.205.51,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,PK
175.195.238.137,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,KR
195.161.62.64,HIGH,Execution · T1203 · T1203,734,2026-07-09,2026-08-01,RU
38.127.60.25,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,US
111.9.42.36,HIGH,Initial Access · T1190 · T1190,1610,2026-06-28,2026-08-01,CN
31.70.84.142,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,DE
207.90.244.14,HIGH,Initial Access · T1190 · T1190,735,2026-07-09,2026-08-01,US
157.230.171.79,HIGH,Initial Access · T1190 · T1190,735,2026-07-09,2026-08-01,US
45.79.120.189,HIGH,Initial Access · T1190 · T1190,734,2026-07-09,2026-08-01,IN
193.26.115.137,HIGH,Initial Access · T1190 · T1190,735,2026-07-09,2026-08-01,US
194.163.178.120,HIGH,Initial Access · T1190 · T1190,959,2026-07-05,2026-07-29,FR
138.197.41.176,HIGH,Initial Access · T1190 · T1190,959,2026-07-05,2026-07-29,US
175.107.228.50,HIGH,Initial Access · T1190 · T1190,959,2026-07-05,2026-07-29,PK
45.198.224.244,HIGH,Initial Access · T1190 · T1190,959,2026-07-05,2026-07-29,US
185.70.109.79,HIGH,Initial Access · T1190 · T1190,959,2026-07-05,2026-07-29,UA
103.186.77.77,HIGH,Initial Access · T1190 · T1190,959,2026-07-05,2026-07-29,PK
93.185.104.80,HIGH,Initial Access · T1190 · T1190,671,2026-07-05,2026-07-28,CZ
20.163.34.41,HIGH,Initial Access · T1190 · T1190,671,2026-07-05,2026-07-28,US
188.138.130.86,HIGH,Initial Access · T1190 · T1190,671,2026-07-05,2026-07-28,MD
